COD,LOC,REF,PRC,QTD
RV1K2,COMPONENTE / RESISTOR,Resistor de Fio 20w 1k2r,9.80,5.00
RV1K,COMPONENTE / RESISTOR,Resistor de Fio 20w 1kr,9.80,8.00
RV1,COMPONENTE / RESISTOR,Resistor de Fio 20w 1r,8.90,5.00
RV1R5,COMPONENTE / RESISTOR,Resistor de Fio 20w 1r5,8.90,7.00
RV22K,COMPONENTE / RESISTOR,Resistor de Fio 20w 22kr,11.20,12.00
RV22,COMPONENTE / RESISTOR,Resistor de Fio 20w 22r ,8.90,9.00
RV270,COMPONENTE / RESISTOR,Resistor de Fio 20w 270r,8.90,10.00
RV27K,COMPONENTE / RESISTOR,Resistor de Fio 20w 27kr,11.20,3.00
RV27,COMPONENTE / RESISTOR,Resistor de Fio 20w 27r,8.90,7.00
RV2K2,COMPONENTE / RESISTOR,Resistor de Fio 20w 2k2,9.80,5.00
RV2K7,COMPONENTE / RESISTOR,Resistor de Fio 20w 2k7,9.80,8.00
RV2R7,COMPONENTE / RESISTOR,Resistor de Fio 20w 2r7,8.90,5.00
RV330,COMPONENTE / RESISTOR,Resistor de Fio 20w 330r,8.90,4.00
RV3K3,COMPONENTE / RESISTOR,Resistor de Fio 20w 3k3,9.80,5.00
RV3R3,COMPONENTE / RESISTOR,Resistor de Fio 20w 3r3,8.90,8.00
RV470,COMPONENTE / RESISTOR,Resistor de Fio 20w 470r,8.90,7.00
RV47,COMPONENTE / RESISTOR,Resistor de Fio 20w 47r,8.90,5.00
RV4K7,COMPONENTE / RESISTOR,Resistor de Fio 20w 4k7r,9.80,4.00
RV4R7,COMPONENTE / RESISTOR,Resistor de Fio 20w 4r7,10.90,6.00
RV56,COMPONENTE / RESISTOR,Resistor de Fio 20w 56r,8.90,4.00
RV5K6,COMPONENTE / RESISTOR,Resistor de Fio 20w 5k6r,9.80,11.00
RV6K8,COMPONENTE / RESISTOR,Resistor de Fio 20w 6k8r,9.80,7.00
RV6R8,COMPONENTE / RESISTOR,Resistor de Fio 20w 6r8,8.90,7.00
RV7r5,COMPONENTE / RESISTOR,Resistor de Fio 20W 7r5,8.90,12.00
RV820,COMPONENTE / RESISTOR,Resistor de Fio 20w 820r,10.90,10.00
RV8K2,COMPONENTE / RESISTOR,Resistor de Fio 20w 8k2r,9.80,13.00
R0R1025W,COMPONENTE / RESISTOR,Resistor de Fio 25w 0r10,22.90,6.00
R100R25W,COMPONENTE / RESISTOR,Resistor de Fio 25w 100r,17.90,3.00
R10R25W,COMPONENTE / RESISTOR,Resistor de Fio 25w 10r,18.90,2.00
R1K25W,COMPONENTE / RESISTOR,Resistor de Fio 25w 1k,17.90,0.00
R1R25W,COMPONENTE / RESISTOR,Resistor de Fio 25w 1r,17.90,5.00
R27K25W,COMPONENTE / RESISTOR,Resistor de Fio 25w 27k,21.30,1.00
R47R25W,COMPONENTE / RESISTOR,Resistor de Fio 25w 47r,29.80,4.00
R82R25W,COMPONENTE / RESISTOR,Resistor de Fio 25w 82r,17.90,0.00
RPDIV,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1%,0.15,891.00
RP100,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 100r,0.15,162.00
RP10K7,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 10k7r,0.15,135.00
RP10K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 10kr :AA1,0.15,3374.00
RP10,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 10r :AA1,0.15,217.00
RP110K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 110kr,0.15,94.00
RP118,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 118r,0.15,99.00
RP120K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 120kr,0.15,86.00
RP121K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 121kr,0.15,66.00
RP121,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 121r,0.15,60.00
RP12K1,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 12k1r,0.15,159.00
RP12,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 12r,0.15,140.00
RP130,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 130r,0.15,93.00
RP133,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 133r,0.15,135.00
RP13R3,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 13r3,0.15,73.00
RP14K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 14kr,0.15,108.00
RP15K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 15kr,0.15,132.00
RP15,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 15r,0.15,165.00
RP16K9,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 16k9r,0.15,72.00
RP16,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 16r,0.15,109.00
RP180K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 180kr,0.15,139.00
RP180,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 180r,0.15,155.00
RP187,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 187r,0.15,91.00
RP18K7,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 18k7r,0.15,149.00
RP18K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 18kr,0.15,65.00
RP18,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 18r,0.15,123.00
RP19R6,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 19r6,0.15,62.00
RP1K24,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 1k24r,0.15,132.00
RP1K2,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 1k2r,0.15,159.00
RP1K5,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 1k5r,0.15,59.00
RP1K78,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 1k78r,0.15,92.00
RP1K82,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 1k82r,0.15,42.00
RP1K8,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 1k8r,0.15,125.00
RP1,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 1R :AA1,0.15,358.00
RP200K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 200kr,0.15,83.00
RP20K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 20kr,0.15,107.00
RP220K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 220kr,0.15,73.00
RP220,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 220r,0.15,209.00
RP226,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 226r,0.15,96.00
RP22K6,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 22k6r,0.15,88.00
RP22K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 22kr,0.15,139.00
RP22R1,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 22r1,0.15,110.00
RP22R6,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 22r6,0.15,106.00
RP23R2,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 23r2,0.15,114.00
RP23R7,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 23r7,0.15,85.00
RP240K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 240kr,0.15,186.00
RP241K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 241kr,0.15,31.00
RP24K3,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 24k3r,0.15,150.00
RP24R9,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 24r9,0.15,95.00
RP25K5,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 25k5r,0.15,111.00
RP270K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 270kr,0.15,92.00
RP270,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 270r,0.15,89.00
RP27K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 27kr,0.15,56.00
RP287,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 287r,0.15,119.00
RP28K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 28kr,0.15,125.00
RP28,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 28r,0.15,93.00
RP28R7,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 28r7,0.15,127.00
RP2K05,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 2K05r,0.15,114.00
RP2K15,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 2k15r,0.15,51.00
RP2K2,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 2k2r,0.15,80.00
RP2K37,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 2k37r,0.15,70.00
RP2K49,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 2k49r  :AA1,0.15,650.00
RP2K4,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 2k4r,0.15,110.00
RP2K61,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 2k61r,0.15,139.00
RP2K67,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 2k67r,0.15,125.00
RP2K7,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 2k7r,0.15,80.00
RP2K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 2kr,0.15,87.00
RP300K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 300kr,0.15,102.00
RP300,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 300r,0.15,106.00
RP301,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 301r,0.15,103.00
RP30K1,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 30k1r,0.15,97.00
RP30K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 30kr,0.15,82.00
RP30,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 30r,0.15,151.00
RP316,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 316r,0.15,107.00
RP330K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 330kr,0.15,145.00
RP330,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 330r,0.15,135.00
RP332,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 332r,0.15,134.00
RP33K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 33kr,0.15,69.00
RP33,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 33r,0.15,69.00
RP33R2,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 33r2,0.15,155.00
RP340,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 340r,0.15,94.00
RP357,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 357r,0.15,84.00
RP360,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 360r,0.15,146.00
RP365,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 365r,0.15,112.00
RP36K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 36kr,0.15,124.00
RP37K4,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 37k4r,0.15,110.00
RP383K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 383kr,0.15,105.00
RP383,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 383r,0.15,76.00
RP390K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 390kr,0.15,131.00
RP390,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 390r,0.15,77.00
RP392,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 392r,0.15,55.00
RP39K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 39kr,0.15,105.00
RP39,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 39r,0.15,142.00
RP3K01,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 3k01r,0.15,76.00
RP3K3,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 3k3r,0.15,90.00
RP3K6,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 3k6r,0.15,70.00
RP3K83,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 3k83r,0.15,107.00
RP3K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 3kr,0.15,64.00
RP402K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 402kr,0.15,115.00
RP40K2,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 40k2r,0.15,50.00
RP40R2,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 40r2,0.15,101.00
RP41K2,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 41k2r,0.15,100.00
RP430K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 430kr,0.15,120.00
RP430,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 430r,0.15,117.00
RP43K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 43kr,0.15,101.00
RP442K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 442kr,0.15,116.00
RP453,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 453r,0.15,102.00
RP464K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 464Kr,0.15,100.00
RP464,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 464r,0.15,111.00
RP465,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 465r,0.15,0.00
RP46K4,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 46k4r,0.15,76.00
RP470K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 470kr,0.15,95.00
RP470,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 470r,0.15,140.00
RP475,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 475r,0.15,93.00
RP47K5,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 47k5r,0.15,136.00
RP47K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 47kr,0.15,105.00
RP47,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 47r,0.15,57.00
RP499K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 499kr,0.15,143.00
RP499,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 499r,0.15,2.00
RP49K9,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 49k9r,0.15,65.00
RP49R9,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 49r9,0.15,55.00
RP4K02,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 4K02r,0.15,175.00
RP4K22,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 4k22r,0.15,159.00
RP4K3,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 4k3r,0.15,96.00
RP4K7,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 4k7r :AA1,0.15,6252.00
RP4K99,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 4k99r,0.15,103.00
RP510K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 510kr,0.15,119.00
RP510,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 510r,0.15,88.00
RP511,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 511r,0.15,149.00
RP51K1,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 51k1,0.15,11.00
RP51K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 51kr,0.15,106.00
RP51,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 51r,0.15,133.00
RP51R1,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 51r1,0.15,192.00
RP52K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 52kr,0.15,122.00
RP536K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 536kr,0.15,99.00
RP536,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 536r,0.15,102.00
RP53R6,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 53r6,0.15,56.00
RP549,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 549r,0.15,146.00
RP560K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 560kr,0.15,127.00
RP560,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 560r,0.15,73.00
RP562,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 562r,0.15,117.00
RP56K2,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 56k2r,0.15,91.00
RP56K,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 56kr,0.15,89.00
RP56,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 56r,0.15,200.00
RP576,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 576r,0.15,134.00
RP5K11,COMPONENTE / RESISTOR,Resistor Precisão 1/4w - 1% 5k11r,0.15,85.00
